Disease,Symptom_1,Symptom_2,Symptom_3,Specialization,Name,State,City,user_rating,schedule,Disease_Encoded,Symptom_1_Encoded,Symptom_2_Encoded,Symptom_3_Encoded,Specialization_Encoded,Name_Encoded,State_Encoded,City_Encoded,schedule_Encoded
1,13,16,11,1,4,5,26,4,1,1,13,16,11,1,4,5,26,1
1,13,16,11,1,5,5,26,5,12,1,13,16,11,1,5,5,26,12
1,13,16,11,1,100,5,25,0,21,1,13,16,11,1,100,5,25,21
1,13,16,11,1,197,5,25,3,12,1,13,16,11,1,197,5,25,12
1,13,16,11,1,398,5,25,3,3,1,13,16,11,1,398,5,25,3
1,13,16,11,1,174,7,21,3,20,1,13,16,11,1,174,7,21,20
1,13,16,11,1,13,8,1,1,5,1,13,16,11,1,13,8,1,5
1,13,16,11,1,22,8,42,3,16,1,13,16,11,1,22,8,42,16
1,13,16,11,1,46,8,42,5,21,1,13,16,11,1,46,8,42,21
1,13,16,11,1,285,8,42,2,17,1,13,16,11,1,285,8,42,17
1,13,16,11,1,383,8,42,4,4,1,13,16,11,1,383,8,42,4
1,13,16,11,1,392,8,42,0,14,1,13,16,11,1,392,8,42,14
1,13,16,11,1,393,8,42,0,19,1,13,16,11,1,393,8,42,19
1,13,16,11,1,231,9,20,4,14,1,13,16,11,1,231,9,20,14
1,13,16,11,1,35,2,41,2,17,1,13,16,11,1,35,2,41,17
1,13,16,11,1,51,2,41,1,2,1,13,16,11,1,51,2,41,2
1,13,16,11,1,67,2,31,0,9,1,13,16,11,1,67,2,31,9
1,13,16,11,1,68,2,41,1,8,1,13,16,11,1,68,2,41,8
1,13,16,11,1,106,2,31,5,0,1,13,16,11,1,106,2,31,0
1,13,16,11,1,107,2,41,1,10,1,13,16,11,1,107,2,41,10
1,13,16,11,1,112,2,31,5,12,1,13,16,11,1,112,2,31,12
1,13,16,11,1,116,2,41,0,7,1,13,16,11,1,116,2,41,7
1,13,16,11,1,181,2,41,1,2,1,13,16,11,1,181,2,41,2
1,13,16,11,1,184,2,41,4,11,1,13,16,11,1,184,2,41,11
1,13,16,11,1,209,2,41,3,19,1,13,16,11,1,209,2,41,19
1,13,16,11,1,212,2,41,0,5,1,13,16,11,1,212,2,41,5
1,13,16,11,1,233,2,31,3,17,1,13,16,11,1,233,2,31,17
1,13,16,11,1,237,2,41,5,18,1,13,16,11,1,237,2,41,18
1,13,16,11,1,246,2,31,0,17,1,13,16,11,1,246,2,31,17
1,13,16,11,1,247,2,31,2,17,1,13,16,11,1,247,2,31,17
1,13,16,11,1,250,2,41,3,21,1,13,16,11,1,250,2,41,21
1,13,16,11,1,262,2,41,0,2,1,13,16,11,1,262,2,41,2
1,13,16,11,1,281,2,41,1,12,1,13,16,11,1,281,2,41,12
1,13,16,11,1,287,2,31,3,0,1,13,16,11,1,287,2,31,0
1,13,16,11,1,288,2,31,5,0,1,13,16,11,1,288,2,31,0
1,13,16,11,1,290,2,41,3,9,1,13,16,11,1,290,2,41,9
1,13,16,11,1,297,2,41,3,9,1,13,16,11,1,297,2,41,9
1,13,16,11,1,303,2,41,0,19,1,13,16,11,1,303,2,41,19
1,13,16,11,1,304,2,31,1,8,1,13,16,11,1,304,2,31,8
1,13,16,11,1,305,2,41,1,12,1,13,16,11,1,305,2,41,12
1,13,16,11,1,306,2,31,1,17,1,13,16,11,1,306,2,31,17
1,13,16,11,1,307,2,41,0,10,1,13,16,11,1,307,2,41,10
1,13,16,11,1,308,2,41,2,17,1,13,16,11,1,308,2,41,17
1,13,16,11,1,313,2,41,4,8,1,13,16,11,1,313,2,41,8
