Disease,Symptom_1,Symptom_2,Symptom_3,Specialization,Name,State,City,user_rating,schedule
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AAMIR RIYAZ,MAHARASHTRA,NAGPUR,4,01:30 PM-02:00 PM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. ADATIA RUPA PAWAN,MAHARASHTRA,NAGPUR,5,07:00 PM-07:30 PM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DANDALE AMEET,MAHARASHTRA,MUMBAI,0,12:30 PM-01:00 PM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KAPOOR RINKY,MAHARASHTRA,MUMBAI,3,07:00 PM-07:30 PM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. TALATHI ABHAY,MAHARASHTRA,MUMBAI,3,02:30 PM-03:00 PM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JAIN S.K.,RAJASTHAN,KOTA,3,12:00 PM-12:30 PM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGARWAL SATISH,UTTAR PRADESH,AGRA,1,03:30 PM-04:00 PM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL NEERAJ KUMAR,UTTAR PRADESH,VARANASI,3,10:00 AM-10:30 AM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. BANSAL MANISH,UTTAR PRADESH,VARANASI,5,12:30 PM-01:00 PM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PANDEY S.S.,UTTAR PRADESH,VARANASI,2,10:30 AM-11:00 AM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHARMA LATA,UTTAR PRADESH,VARANASI,4,03:00 PM-03:30 PM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SINGH SANJAY,UTTAR PRADESH,VARANASI,0,09:00 AM-09:30 AM
